datetime,carbon_intensity_actual,avg_carbon_intensity_forecast,error,daily mape,,datetime,daily mape
2022-07-01 0:00:00,270.3,268.57235,0.006432717,,,2022-07-01 23:00:00,0.028799254
2022-07-01 1:00:00,274.48,267.41077,0.026435846,,,2022-07-02 23:00:00,0.052437103
2022-07-01 2:00:00,283.87,264.15955,0.074615701,,,2022-07-03 23:00:00,0.045209778
2022-07-01 3:00:00,275.9,257.80315,0.070196388,,,2022-07-04 23:00:00,0.058214879
2022-07-01 4:00:00,262.15,251.93573,0.040543158,,,2022-07-05 23:00:00,0.050960943
2022-07-01 5:00:00,254.36,247.17662,0.029061729,,,2022-07-06 23:00:00,0.052342701
2022-07-01 6:00:00,248.41,242.96258,0.022420819,,,2022-07-07 23:00:00,0.045144921
2022-07-01 7:00:00,241.6,239.79363,0.007533019,,,2022-07-08 23:00:00,0.02993673
2022-07-01 8:00:00,238.23,238.89481,0.002782857,,,2022-07-09 23:00:00,0.042904092
2022-07-01 9:00:00,236.72,240.04028,0.013832178,,,2022-07-10 23:00:00,0.044971386
2022-07-01 10:00:00,233.84,243.90261,0.041256672,,,2022-07-11 23:00:00,0.046273635
2022-07-01 11:00:00,235.52,249.59164,0.056378651,,,2022-07-12 23:00:00,0.034288944
2022-07-01 12:00:00,240.78,253.74124,0.051080542,,,2022-07-13 23:00:00,0.057235252
2022-07-01 13:00:00,250.66,257.67229,0.027213986,,,2022-07-14 23:00:00,0.030645689
2022-07-01 14:00:00,254.99,259.8644,0.018757475,,,2022-07-15 23:00:00,0.033692365
2022-07-01 15:00:00,259.35,260.92837,0.006049055,,,2022-07-16 23:00:00,0.034850435
2022-07-01 16:00:00,264.11,260.3058,0.01461435,,,2022-07-17 23:00:00,0.057674149
2022-07-01 17:00:00,270.45,260.1399,0.039632905,,,2022-07-18 23:00:00,0.064175339
2022-07-01 18:00:00,274.1,260.10559,0.053802804,,,2022-07-19 23:00:00,0.045845874
2022-07-01 19:00:00,271.61,260.67468,0.041950066,,,2022-07-20 23:00:00,0.058981841
2022-07-01 20:00:00,263.14,260.53985,0.009979855,,,2022-07-21 23:00:00,0.056964576
2022-07-01 21:00:00,263.25,259.14479,0.015841376,,,2022-07-22 23:00:00,0.054714714
2022-07-01 22:00:00,261.38,258.51119,0.011097431,,,2022-07-23 23:00:00,0.049208456
2022-07-01 23:00:00,261.06,258.55908,0.009672528,0.028799254,,2022-07-24 23:00:00,0.049812586
2022-07-02 0:00:00,267.97,260.66673,0.028017653,0.029698627,,2022-07-25 23:00:00,0.099785234
2022-07-02 1:00:00,266.6,256.41462,0.039722306,0.030252229,,2022-07-26 23:00:00,0.049518738
2022-07-02 2:00:00,277.27,250.39186,0.107344304,0.031615921,,2022-07-27 23:00:00,0.052235227
2022-07-02 3:00:00,280.01,242.10377,0.156570176,0.035214829,,2022-07-28 23:00:00,0.057037652
2022-07-02 4:00:00,274.49,235.5597,0.165267234,0.040411665,,2022-07-29 23:00:00,0.045950937
2022-07-02 5:00:00,266.1,232.36703,0.145171068,0.045249555,,2022-07-30 23:00:00,0.045335579
2022-07-02 6:00:00,258.39,230.93441,0.118889125,0.049269067,,2022-07-31 23:00:00,0.068782868
2022-07-02 7:00:00,254.36,231.72184,0.097695409,0.053025834,,2022-08-01 23:00:00,0.046776254
2022-07-02 8:00:00,244.63,233.98675,0.04548655,0.054805154,,2022-08-02 23:00:00,0.046323951
2022-07-02 9:00:00,244.63,237.5296,0.029892695,0.055474342,,2022-08-03 23:00:00,0.05832525
2022-07-02 10:00:00,241.47,242.25813,0.003253265,0.053890867,,2022-08-04 23:00:00,0.0503955
2022-07-02 11:00:00,239.56,247.42272,0.031778488,0.05286586,,2022-08-05 23:00:00,0.074259877
2022-07-02 12:00:00,250.81,250.36489,0.001777845,0.050811581,,2022-08-06 23:00:00,0.045685066
2022-07-02 13:00:00,256.11,252.81058,0.013050957,0.050221455,,2022-08-07 23:00:00,0.069680164
2022-07-02 14:00:00,258.3,254.05353,0.016714863,0.050136346,,2022-08-08 23:00:00,0.09179454
2022-07-02 15:00:00,259.54,254.30295,0.020593745,0.050742375,,2022-08-09 23:00:00,0.078073514
2022-07-02 16:00:00,257.92,253.48278,0.017505016,0.050862819,,2022-08-10 23:00:00,0.039132387
2022-07-02 17:00:00,261.74,253.41016,0.032870979,0.050581072,,2022-08-11 23:00:00,0.034171699
2022-07-02 18:00:00,261.29,253.46671,0.030865158,0.049625337,,2022-08-12 23:00:00,0.047192487
2022-07-02 19:00:00,262.79,254.33047,0.03326196,0.049263333,,2022-08-13 23:00:00,0.079750917
2022-07-02 20:00:00,265.62,254.76595,0.042604006,0.050622672,,2022-08-14 23:00:00,0.092728361
2022-07-02 21:00:00,262.07,254.60439,0.029322393,0.051184381,,2022-08-15 23:00:00,0.04001198
2022-07-02 22:00:00,258.75,254.77541,0.015600367,0.051372004,,2022-08-16 23:00:00,0.042910163
