index,time,pdu,measured_power_util
0,2019-05-01 00:00:00,pdu6,0.659
1,2019-05-01 00:05:00,pdu6,0.657
2,2019-05-01 00:10:00,pdu6,0.664
3,2019-05-01 00:15:00,pdu6,0.673
4,2019-05-01 00:20:00,pdu6,0.677
5,2019-05-01 00:25:00,pdu6,0.681
6,2019-05-01 00:30:00,pdu6,0.682
7,2019-05-01 00:35:00,pdu6,0.678
8,2019-05-01 00:40:00,pdu6,0.663
9,2019-05-01 00:45:00,pdu6,0.644
10,2019-05-01 00:50:00,pdu6,0.629
11,2019-05-01 00:55:00,pdu6,0.62
12,2019-05-01 01:00:00,pdu6,0.621
13,2019-05-01 01:05:00,pdu6,0.621
14,2019-05-01 01:10:00,pdu6,0.613
15,2019-05-01 01:15:00,pdu6,0.615
16,2019-05-01 01:20:00,pdu6,0.612
17,2019-05-01 01:25:00,pdu6,0.613
18,2019-05-01 01:30:00,pdu6,0.618
19,2019-05-01 01:35:00,pdu6,0.628
20,2019-05-01 01:40:00,pdu6,0.633
21,2019-05-01 01:45:00,pdu6,0.636
22,2019-05-01 01:50:00,pdu6,0.634
23,2019-05-01 01:55:00,pdu6,0.633
24,2019-05-01 02:00:00,pdu6,0.632
25,2019-05-01 02:05:00,pdu6,0.634
26,2019-05-01 02:10:00,pdu6,0.631
27,2019-05-01 02:15:00,pdu6,0.626
28,2019-05-01 02:20:00,pdu6,0.626
29,2019-05-01 02:25:00,pdu6,0.627
30,2019-05-01 02:30:00,pdu6,0.633
31,2019-05-01 02:35:00,pdu6,0.627
32,2019-05-01 02:40:00,pdu6,0.627
33,2019-05-01 02:45:00,pdu6,0.623
34,2019-05-01 02:50:00,pdu6,0.629
35,2019-05-01 02:55:00,pdu6,0.633
36,2019-05-01 03:00:00,pdu6,0.635
37,2019-05-01 03:05:00,pdu6,0.635
38,2019-05-01 03:10:00,pdu6,0.63
39,2019-05-01 03:15:00,pdu6,0.629
40,2019-05-01 03:20:00,pdu6,0.63
41,2019-05-01 03:25:00,pdu6,0.624
42,2019-05-01 03:30:00,pdu6,0.625
43,2019-05-01 03:35:00,pdu6,0.625
44,2019-05-01 03:40:00,pdu6,0.626
45,2019-05-01 03:45:00,pdu6,0.633
46,2019-05-01 03:50:00,pdu6,0.633
47,2019-05-01 03:55:00,pdu6,0.634
48,2019-05-01 04:00:00,pdu6,0.629
49,2019-05-01 04:05:00,pdu6,0.633
50,2019-05-01 04:10:00,pdu6,0.639
51,2019-05-01 04:15:00,pdu6,0.641
52,2019-05-01 04:20:00,pdu6,0.641
53,2019-05-01 04:25:00,pdu6,0.641
54,2019-05-01 04:30:00,pdu6,0.638
55,2019-05-01 04:35:00,pdu6,0.641
56,2019-05-01 04:40:00,pdu6,0.642
57,2019-05-01 04:45:00,pdu6,0.647
58,2019-05-01 04:50:00,pdu6,0.649
59,2019-05-01 04:55:00,pdu6,0.65
60,2019-05-01 05:00:00,pdu6,0.651
61,2019-05-01 05:05:00,pdu6,0.651
62,2019-05-01 05:10:00,pdu6,0.646
63,2019-05-01 05:15:00,pdu6,0.641
64,2019-05-01 05:20:00,pdu6,0.64
65,2019-05-01 05:25:00,pdu6,0.637
66,2019-05-01 05:30:00,pdu6,0.636
67,2019-05-01 05:35:00,pdu6,0.639
68,2019-05-01 05:40:00,pdu6,0.644
69,2019-05-01 05:45:00,pdu6,0.647
70,2019-05-01 05:50:00,pdu6,0.644
71,2019-05-01 05:55:00,pdu6,0.638
72,2019-05-01 06:00:00,pdu6,0.639
73,2019-05-01 06:05:00,pdu6,0.639
74,2019-05-01 06:10:00,pdu6,0.64
75,2019-05-01 06:15:00,pdu6,0.637
76,2019-05-01 06:20:00,pdu6,0.634
77,2019-05-01 06:25:00,pdu6,0.635
78,2019-05-01 06:30:00,pdu6,0.637
79,2019-05-01 06:35:00,pdu6,0.635
80,2019-05-01 06:40:00,pdu6,0.637
81,2019-05-01 06:45:00,pdu6,0.639
82,2019-05-01 06:50:00,pdu6,0.64
83,2019-05-01 06:55:00,pdu6,0.641
84,2019-05-01 07:00:00,pdu6,0.643
85,2019-05-01 07:05:00,pdu6,0.643
86,2019-05-01 07:10:00,pdu6,0.634
87,2019-05-01 07:15:00,pdu6,0.631
88,2019-05-01 07:20:00,pdu6,0.633
89,2019-05-01 07:25:00,pdu6,0.636
90,2019-05-01 07:30:00,pdu6,0.637
91,2019-05-01 07:35:00,pdu6,0.639
92,2019-05-01 07:40:00,pdu6,0.644
93,2019-05-01 07:45:00,pdu6,0.645
94,2019-05-01 07:50:00,pdu6,0.643
95,2019-05-01 07:55:00,pdu6,0.645
96,2019-05-01 08:00:00,pdu6,0.642
97,2019-05-01 08:05:00,pdu6,0.645
98,2019-05-01 08:10:00,pdu6,0.648
99,2019-05-01 08:15:00,pdu6,0.644
100,2019-05-01 08:20:00,pdu6,0.645
101,2019-05-01 08:25:00,pdu6,0.647
102,2019-05-01 08:30:00,pdu6,0.646
103,2019-05-01 08:35:00,pdu6,0.648
104,2019-05-01 08:40:00,pdu6,0.648
105,2019-05-01 08:45:00,pdu6,0.644
106,2019-05-01 08:50:00,pdu6,0.646
107,2019-05-01 08:55:00,pdu6,0.644
108,2019-05-01 09:00:00,pdu6,0.643
109,2019-05-01 09:05:00,pdu6,0.646
110,2019-05-01 09:10:00,pdu6,0.65
111,2019-05-01 09:15:00,pdu6,0.647
112,2019-05-01 09:20:00,pdu6,0.648
113,2019-05-01 09:25:00,pdu6,0.647
114,2019-05-01 09:30:00,pdu6,0.651
115,2019-05-01 09:35:00,pdu6,0.649
116,2019-05-01 09:40:00,pdu6,0.65
117,2019-05-01 09:45:00,pdu6,0.645
118,2019-05-01 09:50:00,pdu6,0.639
119,2019-05-01 09:55:00,pdu6,0.636
120,2019-05-01 10:00:00,pdu6,0.641
121,2019-05-01 10:05:00,pdu6,0.64
122,2019-05-01 10:10:00,pdu6,0.645
123,2019-05-01 10:15:00,pdu6,0.649
124,2019-05-01 10:20:00,pdu6,0.651
125,2019-05-01 10:25:00,pdu6,0.649
126,2019-05-01 10:30:00,pdu6,0.653
127,2019-05-01 10:35:00,pdu6,0.651
128,2019-05-01 10:40:00,pdu6,0.649
129,2019-05-01 10:45:00,pdu6,0.65
130,2019-05-01 10:50:00,pdu6,0.648
131,2019-05-01 10:55:00,pdu6,0.645
132,2019-05-01 11:00:00,pdu6,0.648
133,2019-05-01 11:05:00,pdu6,0.649
134,2019-05-01 11:10:00,pdu6,0.652
135,2019-05-01 11:15:00,pdu6,0.652
136,2019-05-01 11:20:00,pdu6,0.655
137,2019-05-01 11:25:00,pdu6,0.662
138,2019-05-01 11:30:00,pdu6,0.659
139,2019-05-01 11:35:00,pdu6,0.662
140,2019-05-01 11:40:00,pdu6,0.667
141,2019-05-01 11:45:00,pdu6,0.67
142,2019-05-01 11:50:00,pdu6,0.672
143,2019-05-01 11:55:00,pdu6,0.676
144,2019-05-01 12:00:00,pdu6,0.68
145,2019-05-01 12:05:00,pdu6,0.68
146,2019-05-01 12:10:00,pdu6,0.667
147,2019-05-01 12:15:00,pdu6,0.666
148,2019-05-01 12:20:00,pdu6,0.663
149,2019-05-01 12:25:00,pdu6,0.666
150,2019-05-01 12:30:00,pdu6,0.671
151,2019-05-01 12:35:00,pdu6,0.672
152,2019-05-01 12:40:00,pdu6,0.667
153,2019-05-01 12:45:00,pdu6,0.665
154,2019-05-01 12:50:00,pdu6,0.665
155,2019-05-01 12:55:00,pdu6,0.662
156,2019-05-01 13:00:00,pdu6,0.655
157,2019-05-01 13:05:00,pdu6,0.657
158,2019-05-01 13:10:00,pdu6,0.658
159,2019-05-01 13:15:00,pdu6,0.661
160,2019-05-01 13:20:00,pdu6,0.662
161,2019-05-01 13:25:00,pdu6,0.663
162,2019-05-01 13:30:00,pdu6,0.665
163,2019-05-01 13:35:00,pdu6,0.672
164,2019-05-01 13:40:00,pdu6,0.679
165,2019-05-01 13:45:00,pdu6,0.682
166,2019-05-01 13:50:00,pdu6,0.678
167,2019-05-01 13:55:00,pdu6,0.673
168,2019-05-01 14:00:00,pdu6,0.674
169,2019-05-01 14:05:00,pdu6,0.675
170,2019-05-01 14:10:00,pdu6,0.672
171,2019-05-01 14:15:00,pdu6,0.675
172,2019-05-01 14:20:00,pdu6,0.676
173,2019-05-01 14:25:00,pdu6,0.673
174,2019-05-01 14:30:00,pdu6,0.672
175,2019-05-01 14:35:00,pdu6,0.674
176,2019-05-01 14:40:00,pdu6,0.671
177,2019-05-01 14:45:00,pdu6,0.664
