datetime,actual,spci_actual,predicted,spci_predicted,lower bound,upper bound
2022-07-02T00:00:00.000000000,312.21,312.21,312.72297,312.72297,271.95888,348.93284
2022-07-02T01:00:00.000000000,307.63,307.63,313.24392,313.24392,272.47984,349.45379
2022-07-02T02:00:00.000000000,316.77,316.77,309.75609,309.75609,268.992,345.96595
2022-07-02T03:00:00.000000000,308.66,308.66,302.60718,302.60718,261.8431,338.81705
2022-07-02T04:00:00.000000000,293.95,293.95,292.24073,292.24073,251.47664,328.4506
2022-07-02T05:00:00.000000000,282.36,282.36,280.9721,280.9721,240.20801,317.18197
2022-07-02T06:00:00.000000000,267.25,267.25,272.70883,272.70883,231.94475,308.9187
2022-07-02T07:00:00.000000000,272.68,272.68,269.06767,269.06768,228.3036,305.27755
2022-07-02T08:00:00.000000000,277.8,277.8,269.61774,269.61774,228.85365,305.82761
2022-07-02T09:00:00.000000000,276.49,276.49,273.73335,273.73335,232.96926,309.94321
2022-07-02T10:00:00.000000000,288.74,288.74,281.87899,281.87899,241.11491,318.08886
2022-07-02T11:00:00.000000000,298.93,298.93,293.84248,293.84248,253.07839,330.05234
2022-07-02T12:00:00.000000000,308.74,308.74,306.78453,306.78453,266.02044,342.99439
2022-07-02T13:00:00.000000000,309.66,309.66,318.05658,318.05658,277.29249,354.26645
2022-07-02T14:00:00.000000000,289.55,289.55,327.38281,327.38281,286.61872,363.59268
2022-07-02T15:00:00.000000000,279.62,279.62,335.0583,335.05832,294.29423,371.26819
2022-07-02T16:00:00.000000000,289.53,289.53,338.47287,338.47287,297.70878,374.68274
2022-07-02T17:00:00.000000000,307.63,307.63,339.07444,339.07444,298.31035,375.2843
2022-07-02T18:00:00.000000000,322.43,322.43,337.37055,337.37053,296.60644,373.5804
2022-07-02T19:00:00.000000000,331.57,331.57,334.47997,334.47997,293.71588,370.68983
2022-07-02T20:00:00.000000000,331.09,331.09,331.57078,331.57078,290.80669,367.78065
2022-07-02T21:00:00.000000000,317.3,317.3,329.55051,329.55051,288.78642,365.76037
2022-07-02T22:00:00.000000000,306.73,306.73,329.37084,329.37084,288.60675,365.58071
2022-07-02T23:00:00.000000000,291.54,291.54,331.30732,331.30732,290.54323,367.51718
2022-07-03T00:00:00.000000000,289.01,289.01,283.75998,283.75999,186.68873,289.66873
2022-07-03T01:00:00.000000000,295.7,295.7,288.22931,288.22931,191.15805,294.13804
2022-07-03T02:00:00.000000000,306.41,306.41,287.79615,287.79615,190.72489,293.70489
2022-07-03T03:00:00.000000000,310.67,310.67,283.75012,283.75012,186.67886,289.65886
2022-07-03T04:00:00.000000000,311.41,311.41,278.50217,278.50217,181.43091,284.41091
2022-07-03T05:00:00.000000000,310.62,310.62,274.51572,274.51572,177.44446,280.42445
2022-07-03T06:00:00.000000000,301.36,301.36,273.9112,273.9112,176.83994,279.81994
2022-07-03T07:00:00.000000000,295.25,295.25,276.00625,276.00626,178.93499,281.91499
2022-07-03T08:00:00.000000000,293.51,293.51,279.67529,279.67529,182.60403,285.58403
2022-07-03T09:00:00.000000000,298.44,298.44,284.93298,284.93298,187.86172,290.84172
2022-07-03T10:00:00.000000000,305.97,305.97,292.40733,292.40733,195.33607,298.31607
2022-07-03T11:00:00.000000000,304.09,304.09,301.88321,301.88321,204.81195,307.79195
2022-07-03T12:00:00.000000000,310.2,310.2,309.89769,309.89769,212.82642,315.80642
2022-07-03T13:00:00.000000000,300.5,300.5,313.91874,313.91874,216.84748,319.82747
2022-07-03T14:00:00.000000000,274.14,274.14,313.35987,313.35987,216.2886,319.2686
2022-07-03T15:00:00.000000000,260.53,260.53,311.04635,311.04635,213.97509,316.95508
2022-07-03T16:00:00.000000000,272.8,272.8,306.93801,306.93801,209.86674,312.84674
2022-07-03T17:00:00.000000000,283.5,283.5,302.86012,302.86012,205.78885,308.76885
2022-07-03T18:00:00.000000000,283.51,283.51,299.17221,299.17221,202.10095,305.08094
2022-07-03T19:00:00.000000000,285.69,285.69,296.78398,296.78398,199.71272,302.69271
2022-07-03T20:00:00.000000000,282.32,282.32,296.54321,296.54321,199.47194,302.45194
2022-07-03T21:00:00.000000000,280.4,280.4,299.40338,299.40338,202.33211,305.31211
2022-07-03T22:00:00.000000000,276.76,276.76,305.27477,305.27477,208.20351,311.1835
2022-07-03T23:00:00.000000000,269.15,269.15,312.83909,312.83909,215.76783,318.74783
2022-07-04T00:00:00.000000000,268.18,268.18,266.2272,266.22719,161.21322,256.81961
2022-07-04T01:00:00.000000000,280.19,280.19,258.3068,258.30678,153.29282,248.89921
2022-07-04T02:00:00.000000000,292.11,292.11,247.54487,247.54487,142.53091,238.13729
2022-07-04T03:00:00.000000000,305.87,305.87,237.29258,237.29256,132.27859,227.88498
2022-07-04T04:00:00.000000000,310.38,310.38,228.12133,228.12131,123.10735,218.71374
2022-07-04T05:00:00.000000000,309.21,309.21,221.55383,221.55382,116.53985,212.14624
2022-07-04T06:00:00.000000000,296.74,296.74,218.56151,218.56151,113.54755,209.15393
2022-07-04T07:00:00.000000000,284.35,284.35,219.84655,219.84653,114.83257,210.43895
2022-07-04T08:00:00.000000000,275.08,275.08,224.88972,224.88972,119.87575,215.48214
2022-07-04T09:00:00.000000000,264.97,264.97,232.90542,232.90542,127.89145,223.49784
2022-07-04T10:00:00.000000000,258.1,258.1,242.37913,242.37912,137.36515,232.97154
2022-07-04T11:00:00.000000000,258.34,258.34,249.8937,249.89368,144.87971,240.4861
2022-07-04T12:00:00.000000000,265.23,265.23,251.96066,251.96065,146.94669,242.55307
2022-07-04T13:00:00.000000000,266.04,266.04,247.33568,247.33568,142.32171,237.9281
2022-07-04T14:00:00.000000000,235.59,235.59,238.21073,238.21072,133.19675,228.80314
2022-07-04T15:00:00.000000000,212.3,212.3,231.08793,231.08792,126.07395,221.68034
2022-07-04T16:00:00.000000000,226.39,226.39,225.22821,225.2282,120.21423,215.82062
2022-07-04T17:00:00.000000000,247.1,247.1,220.91451,220.9145,115.90054,211.50692
2022-07-04T18:00:00.000000000,262.24,262.24,219.20901,219.209,114.19504,209.80142
2022-07-04T19:00:00.000000000,270.87,270.87,219.27841,219.2784,114.26443,209.87082
2022-07-04T20:00:00.000000000,277.96,277.96,220.67277,220.67276,115.6588,211.26518
2022-07-04T21:00:00.000000000,279.52,279.52,223.01178,223.01177,117.9978,213.60419
2022-07-04T22:00:00.000000000,275.3,275.3,225.04041,225.0404,120.02644,215.63282
2022-07-04T23:00:00.000000000,270.98,270.98,226.94606,226.94605,121.93208,217.53847
2022-07-05T00:00:00.000000000,270.77,270.77,253.30211,253.30211,236.51269,337.32927
2022-07-05T01:00:00.000000000,275.2,275.2,248.72434,248.72433,231.93491,332.75149
2022-07-05T02:00:00.000000000,280.23,280.23,241.41517,241.41516,224.62574,325.44232
2022-07-05T03:00:00.000000000,283.03,283.03,232.37921,232.37921,215.58979,316.40637
2022-07-05T04:00:00.000000000,276.85,276.85,222.15137,222.15137,205.36195,306.17853
2022-07-05T05:00:00.000000000,261.51,261.51,212.29557,212.29556,195.50614,296.32272
2022-07-05T06:00:00.000000000,241.93,241.93,205.1971,205.1971,188.40768,289.22426
2022-07-05T07:00:00.000000000,244.34,244.34,202.9552,202.95517,186.16575,286.98232
2022-07-05T08:00:00.000000000,248.46,248.46,206.81705,206.81705,190.02763,290.84421
2022-07-05T09:00:00.000000000,247.18,247.18,216.20478,216.20476,199.41534,300.23192
2022-07-05T10:00:00.000000000,244.84,244.84,228.2732,228.27321,211.48379,312.30037
2022-07-05T11:00:00.000000000,249.54,249.54,238.98265,238.98265,222.19323,323.00981
2022-07-05T12:00:00.000000000,253.7,253.7,245.09753,245.09752,228.3081,329.12468
2022-07-05T13:00:00.000000000,255.96,255.96,247.28207,247.28207,230.49265,331.30923
2022-07-05T14:00:00.000000000,231.96,231.96,247.28815,247.28815,230.49873,331.31531
2022-07-05T15:00:00.000000000,219.23,219.23,248.12882,248.12882,231.33941,332.15598
2022-07-05T16:00:00.000000000,235.56,235.56,247.85933,247.85933,231.06991,331.88649
2022-07-05T17:00:00.000000000,255.83,255.83,246.79456,246.79456,230.00514,330.82172
2022-07-05T18:00:00.000000000,280.35,280.35,245.9412,245.9412,229.15179,329.96836
2022-07-05T19:00:00.000000000,295.45,295.45,246.94086,246.94086,230.15144,330.96802
2022-07-05T20:00:00.000000000,300.33,300.33,250.90535,250.90535,234.11593,334.93251
2022-07-05T21:00:00.000000000,301.56,301.56,256.66138,256.66138,239.87197,340.68854
2022-07-05T22:00:00.000000000,301.68,301.68,260.37246,260.37246,243.58305,344.39962
2022-07-05T23:00:00.000000000,306.31,306.31,261.6297,261.6297,244.84028,345.65686
2022-07-06T00:00:00.000000000,307.36,307.36,298.62722,298.62722,289.42749,393.06586
2022-07-06T01:00:00.000000000,303.47,303.47,288.10851,288.10852,278.90879,382.54716
2022-07-06T02:00:00.000000000,316.01,316.01,273.04685,273.04685,263.84712,367.48549
2022-07-06T03:00:00.000000000,312.67,312.67,257.9925,257.99252,248.79279,352.43116
2022-07-06T04:00:00.000000000,308.92,308.92,245.47597,245.47597,236.27624,339.91461
2022-07-06T05:00:00.000000000,301.17,301.17,237.39904,237.39905,228.19932,331.83769
2022-07-06T06:00:00.000000000,287.16,287.16,234.29856,234.29857,225.09884,328.73721
2022-07-06T07:00:00.000000000,270.03,270.03,234.42635,234.42635,225.22662,328.86499
2022-07-06T08:00:00.000000000,260.44,260.44,238.25118,238.25119,229.05146,332.68983
2022-07-06T09:00:00.000000000,253.83,253.83,246.25223,246.25224,237.05251,340.69088
2022-07-06T10:00:00.000000000,251.63,251.63,257.05487,257.05488,247.85515,351.49352
