datetime,carbon_intensity_actual,avg_carbon_intensity_forecast,error,daily mape,,datetime,daily mape
2022-07-01 0:00:00,122.89,107.35511,0.144705641,,,2022-07-01 23:00:00,0.07947072
2022-07-01 1:00:00,134.62,139.6267,0.035857755,,,2022-07-02 23:00:00,0.096369601
2022-07-01 2:00:00,174.42,179.56595,0.028657716,,,2022-07-03 23:00:00,0.113367249
2022-07-01 3:00:00,229.69,211.1503,0.087803333,,,2022-07-04 23:00:00,0.125200894
2022-07-01 4:00:00,248.94,226.48802,0.099130983,,,2022-07-05 23:00:00,0.114488819
2022-07-01 5:00:00,237.25,227.18406,0.044307422,,,2022-07-06 23:00:00,0.116589828
2022-07-01 6:00:00,221.34,215.70277,0.026134249,,,2022-07-07 23:00:00,0.119722897
2022-07-01 7:00:00,204.34,197.8445,0.03283134,,,2022-07-08 23:00:00,0.075661843
2022-07-01 8:00:00,203.74,181.88997,0.120127734,,,2022-07-09 23:00:00,0.173510003
2022-07-01 9:00:00,185.6,171.2467,0.083816506,,,2022-07-10 23:00:00,0.15980149
2022-07-01 10:00:00,175.68,166.42675,0.055599536,,,2022-07-11 23:00:00,0.193922321
2022-07-01 11:00:00,172.15,168.68631,0.02053332,,,2022-07-12 23:00:00,0.063609625
2022-07-01 12:00:00,163.32,169.92124,0.038848822,,,2022-07-13 23:00:00,0.056015738
2022-07-01 13:00:00,170.26,163.43535,0.04175749,,,2022-07-14 23:00:00,0.163359701
2022-07-01 14:00:00,146.29,150.27389,0.02651086,,,2022-07-15 23:00:00,0.043991987
2022-07-01 15:00:00,91.13,129.41336,0.295822317,,,2022-07-16 23:00:00,0.093335092
2022-07-01 16:00:00,92.26,104.67277,0.118586429,,,2022-07-17 23:00:00,0.071337722
2022-07-01 17:00:00,92.2,84.58701,0.090001881,,,2022-07-18 23:00:00,0.131440167
2022-07-01 18:00:00,89.65,76.58667,0.170569239,,,2022-07-19 23:00:00,0.048177405
2022-07-01 19:00:00,90.43,76.34729,0.184455925,,,2022-07-20 23:00:00,0.053333798
2022-07-01 20:00:00,87.29,80.93255,0.078552449,,,2022-07-21 23:00:00,0.048754969
2022-07-01 21:00:00,84.64,87.22907,0.029681275,,,2022-07-22 23:00:00,0.096675193
2022-07-01 22:00:00,86.76,89.46272,0.030210573,,,2022-07-23 23:00:00,0.128552087
2022-07-01 23:00:00,94.74,92.62858,0.022794477,0.07947072,,2022-07-24 23:00:00,0.056758672
2022-07-02 0:00:00,107.71,94.25368,0.142767052,0.079389945,,2022-07-25 23:00:00,0.086696333
2022-07-02 1:00:00,127.91,122.79285,0.041673029,0.079632248,,2022-07-26 23:00:00,0.023472099
2022-07-02 2:00:00,169.31,160.0687,0.057733336,0.080843732,,2022-07-27 23:00:00,0.062833478
2022-07-02 3:00:00,217.19,189.8835,0.143806597,0.083177202,,2022-07-28 23:00:00,0.065077117
2022-07-02 4:00:00,231.37,205.00912,0.128583938,0.084404408,,2022-07-29 23:00:00,0.058891239
2022-07-02 5:00:00,232.7,207.13298,0.123432879,0.087701302,,2022-07-30 23:00:00,0.034560537
2022-07-02 6:00:00,217.56,199.3406,0.09139834,0.090420639,,2022-07-31 23:00:00,0.04287992
2022-07-02 7:00:00,204.25,188.64168,0.082740569,0.09250019,,2022-08-01 23:00:00,0.132982279
2022-07-02 8:00:00,177.75,181.21838,0.019139229,0.088292336,,2022-08-02 23:00:00,0.048306234
2022-07-02 9:00:00,168.08,175.02914,0.03970276,0.086454263,,2022-08-03 23:00:00,0.08734441
2022-07-02 10:00:00,166.65,169.08722,0.014413981,0.084738199,,2022-08-04 23:00:00,0.080595177
2022-07-02 11:00:00,159.24,167.42323,0.048877506,0.085919206,,2022-08-05 23:00:00,0.071038038
2022-07-02 12:00:00,161.72,167.7478,0.035933705,0.085797743,,2022-08-06 23:00:00,0.071022701
2022-07-02 13:00:00,155.69,161.45808,0.035724939,0.085546387,,2022-08-07 23:00:00,0.129102141
2022-07-02 14:00:00,134.43,145.61792,0.076830654,0.087643045,,2022-08-08 23:00:00,0.171700549
2022-07-02 15:00:00,91.89,121.73356,0.245154746,0.085531896,,2022-08-09 23:00:00,0.054862229
2022-07-02 16:00:00,83.17,97.71741,0.148872243,0.086793805,,2022-08-10 23:00:00,0.116280718
2022-07-02 17:00:00,79.5,84.17895,0.055583373,0.085359701,,2022-08-11 23:00:00,0.135028245
2022-07-02 18:00:00,77.78,83.64144,0.070078181,0.081172573,,2022-08-12 23:00:00,0.076830107
2022-07-02 19:00:00,72.52,84.32053,0.13994848,0.079318096,,2022-08-13 23:00:00,0.041843313
2022-07-02 20:00:00,68.07,81.11085,0.16077812,0.082744166,,2022-08-14 23:00:00,0.092363691
2022-07-02 21:00:00,66.67,79.38754,0.160195668,0.088182266,,2022-08-15 23:00:00,0.081185169
2022-07-02 22:00:00,70.14,80.34923,0.127060707,0.092217688,,2022-08-16 23:00:00,0.103049678
2022-07-02 23:00:00,74.33,84.7008,0.122440402,0.096369601,,2022-08-17 23:00:00,0.05033213
2022-07-03 0:00:00,85.18,80.83703,0.053725007,0.092659516,,2022-08-18 23:00:00,0.040714689
2022-07-03 1:00:00,95.73,109.26171,0.123846771,0.096083422,,2022-08-19 23:00:00,0.04915661
2022-07-03 2:00:00,123.6,147.82662,0.163885368,0.100506424,,2022-08-20 23:00:00,0.043812391
2022-07-03 3:00:00,192.55,178.89727,0.076316033,0.097694317,,2022-08-21 23:00:00,0.103396179
2022-07-03 4:00:00,216.49,193.42378,0.119252245,0.097305496,,2022-08-22 23:00:00,0.149725663
2022-07-03 5:00:00,203.46,193.98851,0.048825005,0.094196835,,2022-08-23 23:00:00,0.0839627
2022-07-03 6:00:00,184.34,186.10978,0.009509334,0.090784793,,2022-08-24 23:00:00,0.063762277
2022-07-03 7:00:00,172.76,175.96196,0.018196888,0.088095473,,2022-08-25 23:00:00,0.03336375
2022-07-03 8:00:00,151.46,167.34075,0.094900674,0.0912522,,2022-08-26 23:00:00,0.03287409
2022-07-03 9:00:00,136.98,159.87179,0.143188426,0.095564102,,2022-08-27 23:00:00,0.114390839
2022-07-03 10:00:00,141.58,156.21169,0.093665781,0.098866261,,2022-08-28 23:00:00,0.055573357
2022-07-03 11:00:00,127.6,157.26556,0.188633544,0.104689429,,2022-08-29 23:00:00,0.17108884
2022-07-03 12:00:00,120.08,157.89557,0.239497346,0.113171247,,2022-08-30 23:00:00,0.124644316
2022-07-03 13:00:00,127.51,150.79726,0.154427607,0.118117192,,2022-08-31 23:00:00,0.036264464
2022-07-03 14:00:00,112.28,133.62438,0.159734174,0.121571505,,2022-09-01 23:00:00,0.107251277
2022-07-03 15:00:00,88.95,108.67607,0.181512545,0.118919747,,2022-09-02 23:00:00,0.058527726
2022-07-03 16:00:00,92.49,84.63228,0.092845425,0.116585296,,2022-09-03 23:00:00,0.051504206
2022-07-03 17:00:00,88.81,71.42404,0.243418882,0.124411776,,2022-09-04 23:00:00,0.099271875
2022-07-03 18:00:00,82.65,69.49364,0.189317468,0.129380079,,2022-09-05 23:00:00,0.043284246
2022-07-03 19:00:00,75.78,67.60128,0.120984691,0.128589921,,2022-09-06 23:00:00,0.108611036
2022-07-03 20:00:00,73.1,64.51547,0.133061574,0.127435065,,2022-09-07 23:00:00,0.053220001
2022-07-03 21:00:00,67.55,65.28781,0.0346495,0.122203975,,2022-09-08 23:00:00,0.163691049
2022-07-03 22:00:00,70.18,68.1348,0.030016966,0.118160486,,2022-09-09 23:00:00,0.099613566
2022-07-03 23:00:00,73.58,73.03931,0.007402726,0.113367249,,2022-09-10 23:00:00,0.076748602
2022-07-04 0:00:00,82.64,76.83852,0.075502235,,,2022-09-11 23:00:00,0.047569773
2022-07-04 1:00:00,90.77,101.76026,0.108001493,,,2022-09-12 23:00:00,0.155518601
2022-07-04 2:00:00,105.86,138.56844,0.236045379,,,2022-09-13 23:00:00,0.059536955
2022-07-04 3:00:00,159.7,167.90732,0.048880061,,,2022-09-14 23:00:00,0.068153379
2022-07-04 4:00:00,180.06,180.35211,0.001619665,,,2022-09-15 23:00:00,0.063443206
2022-07-04 5:00:00,173.51,181.44109,0.043711653,,,2022-09-16 23:00:00,0.072847089
2022-07-04 6:00:00,149.39,176.68511,0.154484495,,,2022-09-17 23:00:00,0.16105479
2022-07-04 7:00:00,145.51,168.54555,0.136672549,,,2022-09-18 23:00:00,0.097964897
2022-07-04 8:00:00,127.89,158.96071,0.19546157,,,2022-09-19 23:00:00,0.103549981
2022-07-04 9:00:00,122,149.47962,0.183835228,,,2022-09-20 23:00:00,0.077775312
2022-07-04 10:00:00,116.19,145.27114,0.200185254,,,2022-09-21 23:00:00,0.092285134
2022-07-04 11:00:00,107.38,148.87226,0.278710486,,,2022-09-22 23:00:00,0.049203106
2022-07-04 12:00:00,108.11,151.53203,0.286553477,,,2022-09-23 23:00:00,0.090161188
2022-07-04 13:00:00,119.73,144.27269,0.170113207,,,2022-09-24 23:00:00,0.065347133
2022-07-04 14:00:00,111.93,126.6548,0.116259313,,,2022-09-25 23:00:00,0.0595059
2022-07-04 15:00:00,92.71,105.05301,0.117493159,,,2022-09-26 23:00:00,0.066350432
2022-07-04 16:00:00,82.26,88.12477,0.066550755,,,2022-09-27 23:00:00,0.04004954
2022-07-04 17:00:00,76.81,79.57146,0.034704151,,,2022-09-28 23:00:00,0.031939535
2022-07-04 18:00:00,68.58,75.99876,0.097616856,,,2022-09-29 23:00:00,0.078433788
2022-07-04 19:00:00,66.95,69.19454,0.032438109,,,2022-09-30 23:00:00,0.056851221
2022-07-04 20:00:00,63.15,63.40017,0.003945888,,,2022-10-01 23:00:00,0.076405381
2022-07-04 21:00:00,60.24,65.2249,0.076426334,,,2022-10-02 23:00:00,0.05936802
2022-07-04 22:00:00,59.33,70.41027,0.157367242,,,2022-10-03 23:00:00,0.181748691
2022-07-04 23:00:00,60.63,74.14182,0.182242896,0.125200894,,2022-10-04 23:00:00,0.085498724
2022-07-05 0:00:00,68.57,92.84761,0.261478028,,,2022-10-05 23:00:00,0.045392629
2022-07-05 1:00:00,87.12,116.00203,0.24897866,,,2022-10-06 23:00:00,0.066344206
2022-07-05 2:00:00,117.76,146.1619,0.194318082,,,2022-10-07 23:00:00,0.075618371
2022-07-05 3:00:00,169.38,167.32605,0.012275136,,,2022-10-08 23:00:00,0.067587921
2022-07-05 4:00:00,193.37,174.02122,0.111186325,,,2022-10-09 23:00:00,0.045644826
2022-07-05 5:00:00,187.95,173.19263,0.085207841,,,2022-10-10 23:00:00,0.108888076
2022-07-05 6:00:00,174.49,168.1076,0.03796616,,,2022-10-11 23:00:00,0.045190028
2022-07-05 7:00:00,170.38,158.29276,0.076360031,,,2022-10-12 23:00:00,0.06045218
