index,time,measured_power_util
0,600000000,0.699
1,900000000,0.696
2,1200000000,0.701
3,1500000000,0.71
4,1800000000,0.718
5,2100000000,0.724
6,2400000000,0.724
7,2700000000,0.719
8,3000000000,0.703
9,3300000000,0.682
10,3600000000,0.661
11,3900000000,0.648
12,4200000000,0.649
13,4500000000,0.65
14,4800000000,0.644
15,5100000000,0.648
16,5400000000,0.645
17,5700000000,0.646
18,6000000000,0.654
19,6300000000,0.663
20,6600000000,0.665
21,6900000000,0.668
22,7200000000,0.667
23,7500000000,0.665
24,7800000000,0.664
25,8100000000,0.667
26,8400000000,0.665
27,8700000000,0.659
28,9000000000,0.659
29,9300000000,0.66
30,9600000000,0.668
31,9900000000,0.663
32,10200000000,0.664
33,10500000000,0.66
34,10800000000,0.668
35,11100000000,0.673
36,11400000000,0.674
37,11700000000,0.672
38,12000000000,0.664
39,12300000000,0.666
40,12600000000,0.668
41,12900000000,0.66
42,13200000000,0.662
43,13500000000,0.664
44,13800000000,0.665
45,14100000000,0.667
46,14400000000,0.669
47,14700000000,0.67
48,15000000000,0.665
49,15300000000,0.667
50,15600000000,0.675
51,15900000000,0.678
52,16200000000,0.677
53,16500000000,0.676
54,16800000000,0.674
55,17100000000,0.678
56,17400000000,0.679
57,17700000000,0.682
58,18000000000,0.686
59,18300000000,0.688
60,18600000000,0.689
61,18900000000,0.687
62,19200000000,0.679
63,19500000000,0.673
64,19800000000,0.672
65,20100000000,0.669
66,20400000000,0.67
67,20700000000,0.676
68,21000000000,0.681
69,21300000000,0.683
70,21600000000,0.682
71,21900000000,0.679
72,22200000000,0.676
73,22500000000,0.673
74,22800000000,0.672
75,23100000000,0.672
76,23400000000,0.67
77,23700000000,0.672
78,24000000000,0.673
79,24300000000,0.672
80,24600000000,0.672
81,24900000000,0.674
82,25200000000,0.673
83,25500000000,0.674
84,25800000000,0.679
85,26100000000,0.679
86,26400000000,0.668
87,26700000000,0.663
88,27000000000,0.664
89,27300000000,0.668
90,27600000000,0.67
91,27900000000,0.672
92,28200000000,0.675
93,28500000000,0.678
94,28800000000,0.679
95,29100000000,0.681
96,29400000000,0.675
97,29700000000,0.677
98,30000000000,0.679
99,30300000000,0.674
100,30600000000,0.675
101,30900000000,0.677
102,31200000000,0.678
103,31500000000,0.681
104,31800000000,0.68
105,32100000000,0.676
106,32400000000,0.679
107,32700000000,0.68
108,33000000000,0.679
109,33300000000,0.682
110,33600000000,0.687
111,33900000000,0.683
112,34200000000,0.684
113,34500000000,0.685
114,34800000000,0.689
115,35100000000,0.688
116,35400000000,0.689
117,35700000000,0.685
118,36000000000,0.678
119,36300000000,0.673
120,36600000000,0.676
121,36900000000,0.674
122,37200000000,0.681
123,37500000000,0.684
124,37800000000,0.687
125,38100000000,0.684
126,38400000000,0.688
127,38700000000,0.687
128,39000000000,0.685
129,39300000000,0.686
130,39600000000,0.685
131,39900000000,0.682
132,40200000000,0.685
133,40500000000,0.687
134,40800000000,0.687
135,41100000000,0.684
136,41400000000,0.682
137,41700000000,0.685
138,42000000000,0.679
139,42300000000,0.683
140,42600000000,0.688
141,42900000000,0.687
142,43200000000,0.686
143,43500000000,0.691
144,43800000000,0.696
145,44100000000,0.697
146,44400000000,0.683
147,44700000000,0.681
148,45000000000,0.676
149,45300000000,0.679
150,45600000000,0.686
151,45900000000,0.687
152,46200000000,0.683
153,46500000000,0.681
154,46800000000,0.681
155,47100000000,0.678
156,47400000000,0.669
157,47700000000,0.671
158,48000000000,0.672
159,48300000000,0.675
160,48600000000,0.676
161,48900000000,0.678
162,49200000000,0.681
163,49500000000,0.687
164,49800000000,0.691
165,50100000000,0.693
166,50400000000,0.691
167,50700000000,0.69
168,51000000000,0.688
169,51300000000,0.686
170,51600000000,0.685
171,51900000000,0.689
172,52200000000,0.694
173,52500000000,0.698
174,52800000000,0.697
175,53100000000,0.698
176,53400000000,0.694
177,53700000000,0.687
178,54000000000,0.685
179,54300000000,0.682
180,54600000000,0.681
181,54900000000,0.691
182,55200000000,0.693
183,55500000000,0.693
184,55800000000,0.69
185,56100000000,0.691
186,56400000000,0.696
187,56700000000,0.701
188,57000000000,0.699
189,57300000000,0.694
190,57600000000,0.69
191,57900000000,0.69
192,58200000000,0.696
193,58500000000,0.701
194,58800000000,0.707
195,59100000000,0.708
196,59400000000,0.709
197,59700000000,0.702
198,60000000000,0.704
199,60300000000,0.706
200,60600000000,0.704
201,60900000000,0.701
202,61200000000,0.703
203,61500000000,0.705
204,61800000000,0.709
205,62100000000,0.71
206,62400000000,0.709
207,62700000000,0.711
208,63000000000,0.707
209,63300000000,0.703
210,63600000000,0.707
211,63900000000,0.711
212,64200000000,0.712
213,64500000000,0.713
214,64800000000,0.716
215,65100000000,0.724
216,65400000000,0.729
217,65700000000,0.741
218,66000000000,0.749
219,66300000000,0.754
220,66600000000,0.752
221,66900000000,0.746
222,67200000000,0.743
223,67500000000,0.74
224,67800000000,0.739
225,68100000000,0.739
226,68400000000,0.737
227,68700000000,0.733
228,69000000000,0.73
229,69300000000,0.727
230,69600000000,0.725
231,69900000000,0.724
232,70200000000,0.725
233,70500000000,0.728
234,70800000000,0.728
235,71100000000,0.726
236,71400000000,0.723
237,71700000000,0.725
