index,time,pdu,measured_power_util
0,600000000,pdu9,0.715
1,900000000,pdu9,0.713
2,1200000000,pdu9,0.72
3,1500000000,pdu9,0.73
4,1800000000,pdu9,0.736
5,2100000000,pdu9,0.74
6,2400000000,pdu9,0.739
7,2700000000,pdu9,0.734
8,3000000000,pdu9,0.716
9,3300000000,pdu9,0.693
10,3600000000,pdu9,0.674
11,3900000000,pdu9,0.661
12,4200000000,pdu9,0.663
13,4500000000,pdu9,0.666
14,4800000000,pdu9,0.66
15,5100000000,pdu9,0.664
16,5400000000,pdu9,0.661
17,5700000000,pdu9,0.663
18,6000000000,pdu9,0.669
19,6300000000,pdu9,0.679
20,6600000000,pdu9,0.683
21,6900000000,pdu9,0.685
22,7200000000,pdu9,0.684
23,7500000000,pdu9,0.681
24,7800000000,pdu9,0.678
25,8100000000,pdu9,0.682
26,8400000000,pdu9,0.68
27,8700000000,pdu9,0.674
28,9000000000,pdu9,0.673
29,9300000000,pdu9,0.675
30,9600000000,pdu9,0.686
31,9900000000,pdu9,0.679
32,10200000000,pdu9,0.681
33,10500000000,pdu9,0.677
34,10800000000,pdu9,0.687
35,11100000000,pdu9,0.692
36,11400000000,pdu9,0.693
37,11700000000,pdu9,0.69
38,12000000000,pdu9,0.682
39,12300000000,pdu9,0.685
40,12600000000,pdu9,0.686
41,12900000000,pdu9,0.676
42,13200000000,pdu9,0.677
43,13500000000,pdu9,0.679
44,13800000000,pdu9,0.68
45,14100000000,pdu9,0.683
46,14400000000,pdu9,0.684
47,14700000000,pdu9,0.685
48,15000000000,pdu9,0.682
49,15300000000,pdu9,0.685
50,15600000000,pdu9,0.694
51,15900000000,pdu9,0.696
52,16200000000,pdu9,0.696
53,16500000000,pdu9,0.694
54,16800000000,pdu9,0.691
55,17100000000,pdu9,0.694
56,17400000000,pdu9,0.696
57,17700000000,pdu9,0.7
58,18000000000,pdu9,0.704
59,18300000000,pdu9,0.707
60,18600000000,pdu9,0.708
61,18900000000,pdu9,0.704
62,19200000000,pdu9,0.695
63,19500000000,pdu9,0.688
64,19800000000,pdu9,0.688
65,20100000000,pdu9,0.685
66,20400000000,pdu9,0.686
67,20700000000,pdu9,0.691
68,21000000000,pdu9,0.696
69,21300000000,pdu9,0.699
70,21600000000,pdu9,0.699
71,21900000000,pdu9,0.696
72,22200000000,pdu9,0.693
73,22500000000,pdu9,0.689
74,22800000000,pdu9,0.688
75,23100000000,pdu9,0.687
76,23400000000,pdu9,0.686
77,23700000000,pdu9,0.687
78,24000000000,pdu9,0.689
79,24300000000,pdu9,0.687
80,24600000000,pdu9,0.688
81,24900000000,pdu9,0.689
82,25200000000,pdu9,0.689
83,25500000000,pdu9,0.69
84,25800000000,pdu9,0.694
85,26100000000,pdu9,0.693
86,26400000000,pdu9,0.681
87,26700000000,pdu9,0.675
88,27000000000,pdu9,0.676
89,27300000000,pdu9,0.679
90,27600000000,pdu9,0.681
91,27900000000,pdu9,0.684
92,28200000000,pdu9,0.688
93,28500000000,pdu9,0.69
94,28800000000,pdu9,0.691
95,29100000000,pdu9,0.694
96,29400000000,pdu9,0.687
97,29700000000,pdu9,0.689
98,30000000000,pdu9,0.691
99,30300000000,pdu9,0.685
100,30600000000,pdu9,0.688
101,30900000000,pdu9,0.69
102,31200000000,pdu9,0.691
103,31500000000,pdu9,0.694
104,31800000000,pdu9,0.693
105,32100000000,pdu9,0.687
106,32400000000,pdu9,0.688
107,32700000000,pdu9,0.686
108,33000000000,pdu9,0.685
109,33300000000,pdu9,0.688
110,33600000000,pdu9,0.695
111,33900000000,pdu9,0.689
112,34200000000,pdu9,0.692
113,34500000000,pdu9,0.693
114,34800000000,pdu9,0.698
115,35100000000,pdu9,0.696
116,35400000000,pdu9,0.698
117,35700000000,pdu9,0.692
118,36000000000,pdu9,0.685
119,36300000000,pdu9,0.679
120,36600000000,pdu9,0.682
121,36900000000,pdu9,0.679
122,37200000000,pdu9,0.687
123,37500000000,pdu9,0.691
124,37800000000,pdu9,0.695
125,38100000000,pdu9,0.691
126,38400000000,pdu9,0.696
127,38700000000,pdu9,0.693
128,39000000000,pdu9,0.692
129,39300000000,pdu9,0.692
130,39600000000,pdu9,0.692
131,39900000000,pdu9,0.688
132,40200000000,pdu9,0.691
133,40500000000,pdu9,0.692
134,40800000000,pdu9,0.69
135,41100000000,pdu9,0.687
136,41400000000,pdu9,0.685
137,41700000000,pdu9,0.688
138,42000000000,pdu9,0.682
139,42300000000,pdu9,0.684
140,42600000000,pdu9,0.691
141,42900000000,pdu9,0.691
142,43200000000,pdu9,0.691
143,43500000000,pdu9,0.696
144,43800000000,pdu9,0.701
145,44100000000,pdu9,0.701
146,44400000000,pdu9,0.686
147,44700000000,pdu9,0.683
148,45000000000,pdu9,0.68
149,45300000000,pdu9,0.682
150,45600000000,pdu9,0.691
151,45900000000,pdu9,0.692
152,46200000000,pdu9,0.688
153,46500000000,pdu9,0.686
154,46800000000,pdu9,0.685
155,47100000000,pdu9,0.682
156,47400000000,pdu9,0.671
157,47700000000,pdu9,0.671
158,48000000000,pdu9,0.671
159,48300000000,pdu9,0.674
160,48600000000,pdu9,0.677
161,48900000000,pdu9,0.679
162,49200000000,pdu9,0.681
163,49500000000,pdu9,0.688
164,49800000000,pdu9,0.693
165,50100000000,pdu9,0.695
166,50400000000,pdu9,0.694
167,50700000000,pdu9,0.691
168,51000000000,pdu9,0.688
169,51300000000,pdu9,0.688
170,51600000000,pdu9,0.684
171,51900000000,pdu9,0.689
172,52200000000,pdu9,0.693
173,52500000000,pdu9,0.696
174,52800000000,pdu9,0.697
175,53100000000,pdu9,0.699
176,53400000000,pdu9,0.697
177,53700000000,pdu9,0.688
178,54000000000,pdu9,0.688
179,54300000000,pdu9,0.687
180,54600000000,pdu9,0.684
181,54900000000,pdu9,0.695
182,55200000000,pdu9,0.694
183,55500000000,pdu9,0.693
184,55800000000,pdu9,0.693
185,56100000000,pdu9,0.695
186,56400000000,pdu9,0.7
187,56700000000,pdu9,0.702
188,57000000000,pdu9,0.698
189,57300000000,pdu9,0.693
190,57600000000,pdu9,0.688
191,57900000000,pdu9,0.686
192,58200000000,pdu9,0.693
193,58500000000,pdu9,0.698
194,58800000000,pdu9,0.703
195,59100000000,pdu9,0.704
196,59400000000,pdu9,0.704
197,59700000000,pdu9,0.697
198,60000000000,pdu9,0.699
199,60300000000,pdu9,0.701
200,60600000000,pdu9,0.699
201,60900000000,pdu9,0.698
202,61200000000,pdu9,0.703
203,61500000000,pdu9,0.704
204,61800000000,pdu9,0.708
205,62100000000,pdu9,0.709
206,62400000000,pdu9,0.706
207,62700000000,pdu9,0.707
208,63000000000,pdu9,0.703
209,63300000000,pdu9,0.702
210,63600000000,pdu9,0.706
211,63900000000,pdu9,0.709
212,64200000000,pdu9,0.711
213,64500000000,pdu9,0.712
214,64800000000,pdu9,0.715
215,65100000000,pdu9,0.726
216,65400000000,pdu9,0.731
217,65700000000,pdu9,0.744
218,66000000000,pdu9,0.753
219,66300000000,pdu9,0.759
220,66600000000,pdu9,0.758
221,66900000000,pdu9,0.751
222,67200000000,pdu9,0.748
223,67500000000,pdu9,0.745
224,67800000000,pdu9,0.744
225,68100000000,pdu9,0.745
226,68400000000,pdu9,0.743
227,68700000000,pdu9,0.739
228,69000000000,pdu9,0.736
229,69300000000,pdu9,0.733
230,69600000000,pdu9,0.731
231,69900000000,pdu9,0.731
232,70200000000,pdu9,0.732
233,70500000000,pdu9,0.735
234,70800000000,pdu9,0.734
235,71100000000,pdu9,0.732
236,71400000000,pdu9,0.728
237,71700000000,pdu9,0.729
238,72000000000,pdu9,0.732
239,72300000000,pdu9,0.732
240,72600000000,pdu9,0.731
241,72900000000,pdu9,0.731
242,73200000000,pdu9,0.725
243,73500000000,pdu9,0.724
244,73800000000,pdu9,0.727
245,74100000000,pdu9,0.728
