datetime,actual,spci_actual,predicted,spci_predicted,lower bound,upper bound
2022-07-02T00:00:00.000000000,107.71,107.71,94.25368,94.25366,67.02921,119.36155
2022-07-02T01:00:00.000000000,127.91,127.91,122.79285,122.79283,95.56838,147.90072
2022-07-02T02:00:00.000000000,169.31,169.31,160.0687,160.0687,132.84425,185.1766
2022-07-02T03:00:00.000000000,217.19,217.19,189.8835,189.88352,162.65907,214.99141
2022-07-02T04:00:00.000000000,231.37,231.37,205.00912,205.00914,177.78469,230.11703
2022-07-02T05:00:00.000000000,232.7,232.7,207.133,207.133,179.90855,232.24089
2022-07-02T06:00:00.000000000,217.56,217.56,199.3406,199.3406,172.11614,224.44849
2022-07-02T07:00:00.000000000,204.25,204.25,188.64168,188.64168,161.41723,213.74957
2022-07-02T08:00:00.000000000,177.75,177.75,181.21839,181.21838,153.99393,206.32627
2022-07-02T09:00:00.000000000,168.08,168.08,175.02914,175.02914,147.80469,200.13703
2022-07-02T10:00:00.000000000,166.65,166.65,169.08723,169.08723,141.86278,194.19512
2022-07-02T11:00:00.000000000,159.24,159.24,167.42323,167.42323,140.19878,192.53112
2022-07-02T12:00:00.000000000,161.72,161.72,167.7478,167.7478,140.52334,192.85569
2022-07-02T13:00:00.000000000,155.69,155.69,161.45807,161.45807,134.23362,186.56596
2022-07-02T14:00:00.000000000,134.43,134.43,145.61792,145.61793,118.39348,170.72582
2022-07-02T15:00:00.000000000,91.89,91.89,121.73356,121.73357,94.50912,146.84146
2022-07-02T16:00:00.000000000,83.17,83.17,97.71738,97.71739,70.49294,122.82529
2022-07-02T17:00:00.000000000,79.5,79.5,84.17896,84.17896,56.95451,109.28685
2022-07-02T18:00:00.000000000,77.78,77.78,83.64144,83.64144,56.41698,108.74933
2022-07-02T19:00:00.000000000,72.52,72.52,84.32052,84.32051,57.09606,109.42841
2022-07-02T20:00:00.000000000,68.07,68.07,81.11084,81.11084,53.88638,106.21873
2022-07-02T21:00:00.000000000,66.67,66.67,79.38754,79.38753,52.16308,104.49543
2022-07-02T22:00:00.000000000,70.14,70.14,80.34925,80.34923,53.12478,105.45713
2022-07-02T23:00:00.000000000,74.33,74.33,84.70082,84.7008,57.47635,109.80869
2022-07-03T00:00:00.000000000,85.18,85.18,80.83702,80.83703,47.53805,96.2928
2022-07-03T01:00:00.000000000,95.73,95.73,109.2617,109.26172,75.96274,124.71749
2022-07-03T02:00:00.000000000,123.6,123.6,147.82662,147.82662,114.52764,163.28238
2022-07-03T03:00:00.000000000,192.55,192.55,178.89728,178.89728,145.5983,194.35304
2022-07-03T04:00:00.000000000,216.49,216.49,193.42378,193.42378,160.1248,208.87955
2022-07-03T05:00:00.000000000,203.46,203.46,193.98853,193.98851,160.68953,209.44428
2022-07-03T06:00:00.000000000,184.34,184.34,186.10979,186.10979,152.81081,201.56556
2022-07-03T07:00:00.000000000,172.76,172.76,175.96196,175.96197,142.66299,191.41774
2022-07-03T08:00:00.000000000,151.46,151.46,167.34076,167.34077,134.04179,182.79654
2022-07-03T09:00:00.000000000,136.98,136.98,159.87179,159.87181,126.57283,175.32758
2022-07-03T10:00:00.000000000,141.58,141.58,156.21169,156.21169,122.91271,171.66745
2022-07-03T11:00:00.000000000,127.6,127.6,157.26556,157.26556,123.96658,172.72133
2022-07-03T12:00:00.000000000,120.08,120.08,157.89558,157.89559,124.59661,173.35136
2022-07-03T13:00:00.000000000,127.51,127.51,150.79727,150.79728,117.4983,166.25304
2022-07-03T14:00:00.000000000,112.28,112.28,133.62438,133.62439,100.32541,149.08015
2022-07-03T15:00:00.000000000,88.95,88.95,108.67607,108.67607,75.37709,124.13184
2022-07-03T16:00:00.000000000,92.49,92.49,84.63227,84.63227,51.33329,100.08804
2022-07-03T17:00:00.000000000,88.81,88.81,71.42404,71.42404,38.12506,86.87981
2022-07-03T18:00:00.000000000,82.65,82.65,69.49366,69.49366,36.19468,84.94943
2022-07-03T19:00:00.000000000,75.78,75.78,67.60127,67.60128,34.3023,83.05704
2022-07-03T20:00:00.000000000,73.1,73.1,64.51546,64.51547,31.21649,79.97124
2022-07-03T21:00:00.000000000,67.55,67.55,65.28779,65.28779,31.98881,80.74356
2022-07-03T22:00:00.000000000,70.18,70.18,68.13481,68.1348,34.83582,83.59056
2022-07-03T23:00:00.000000000,73.58,73.58,73.03931,73.03931,39.74033,88.49507
2022-07-04T00:00:00.000000000,82.64,82.64,76.83854,76.83851,48.03034,98.81649
2022-07-04T01:00:00.000000000,90.77,90.77,101.76026,101.76025,72.95208,123.73823
2022-07-04T02:00:00.000000000,105.86,105.86,138.56843,138.56843,109.76026,160.54641
2022-07-04T03:00:00.000000000,159.7,159.7,167.90731,167.90731,139.09914,189.88529
2022-07-04T04:00:00.000000000,180.06,180.06,180.35211,180.35211,151.54394,202.33009
2022-07-04T05:00:00.000000000,173.51,173.51,181.44109,181.44109,152.63292,203.41907
2022-07-04T06:00:00.000000000,149.39,149.39,176.6851,176.6851,147.87693,198.66308
2022-07-04T07:00:00.000000000,145.51,145.51,168.54554,168.54554,139.73737,190.52353
2022-07-04T08:00:00.000000000,127.89,127.89,158.9607,158.9607,130.15253,180.93868
2022-07-04T09:00:00.000000000,122.0,122.0,149.47961,149.47961,120.67144,171.45759
2022-07-04T10:00:00.000000000,116.19,116.19,145.27113,145.27114,116.46297,167.24913
2022-07-04T11:00:00.000000000,107.38,107.38,148.87226,148.87226,120.06409,170.85024
2022-07-04T12:00:00.000000000,108.11,108.11,151.53202,151.53202,122.72385,173.51
2022-07-04T13:00:00.000000000,119.73,119.73,144.27268,144.27268,115.46451,166.25066
2022-07-04T14:00:00.000000000,111.93,111.93,126.6548,126.6548,97.84663,148.63279
2022-07-04T15:00:00.000000000,92.71,92.71,105.05301,105.05301,76.24484,127.03099
2022-07-04T16:00:00.000000000,82.26,82.26,88.12474,88.12475,59.31658,110.10273
2022-07-04T17:00:00.000000000,76.81,76.81,79.57144,79.57145,50.76328,101.54944
2022-07-04T18:00:00.000000000,68.58,68.58,75.99877,75.99877,47.1906,97.97675
2022-07-04T19:00:00.000000000,66.95,66.95,69.19453,69.19454,40.38637,91.17252
2022-07-04T20:00:00.000000000,63.15,63.15,63.40017,63.40016,34.59199,85.37815
2022-07-04T21:00:00.000000000,60.24,60.24,65.2249,65.22488,36.41671,87.20286
2022-07-04T22:00:00.000000000,59.33,59.33,70.41028,70.41026,41.60209,92.38825
2022-07-04T23:00:00.000000000,60.63,60.63,74.14182,74.1418,45.33363,96.11979
2022-07-05T00:00:00.000000000,68.57,68.57,92.84763,92.84761,62.23599,109.94507
2022-07-05T01:00:00.000000000,87.12,87.12,116.00205,116.00203,85.39041,133.09949
2022-07-05T02:00:00.000000000,117.76,117.76,146.1619,146.1619,115.55028,163.25937
