datetime,actual,spci_actual,predicted,spci_predicted,lower bound,upper bound
2022-07-02T00:00:00.000000000,165.97,165.97,165.80355,165.80355,114.86199,183.91321
2022-07-02T01:00:00.000000000,190.16,190.16,195.40644,195.40644,144.46488,213.5161
2022-07-02T02:00:00.000000000,238.66,238.66,236.33041,236.33041,185.38885,254.44006
2022-07-02T03:00:00.000000000,293.57,293.57,275.79975,275.79975,224.85818,293.9094
2022-07-02T04:00:00.000000000,309.64,309.64,296.13494,296.13497,245.1934,314.24462
2022-07-02T05:00:00.000000000,311.24,311.24,290.39037,290.39037,239.44881,308.50003
2022-07-02T06:00:00.000000000,292.84,292.84,272.40152,272.40154,221.45998,290.51119
2022-07-02T07:00:00.000000000,276.3,276.3,252.69857,252.69858,201.75702,270.80824
2022-07-02T08:00:00.000000000,243.87,243.87,239.26592,239.26593,188.32436,257.37558
2022-07-02T09:00:00.000000000,231.33,231.33,226.92937,226.92938,175.98782,245.03904
2022-07-02T10:00:00.000000000,229.3,229.3,214.41537,214.41537,163.47381,232.52503
2022-07-02T11:00:00.000000000,219.68,219.68,207.22942,207.22942,156.28785,225.33907
2022-07-02T12:00:00.000000000,222.87,222.87,210.43188,210.43189,159.49033,228.54155
2022-07-02T13:00:00.000000000,215.12,215.12,209.16164,209.16163,158.22006,227.27128
2022-07-02T14:00:00.000000000,192.64,192.64,187.86923,187.86922,136.92766,205.97887
2022-07-02T15:00:00.000000000,145.82,145.82,149.51397,149.51397,98.5724,167.62362
2022-07-02T16:00:00.000000000,136.91,136.91,122.55378,122.55377,71.6122,140.66342
2022-07-02T17:00:00.000000000,132.95,132.95,117.87837,117.87837,66.9368,135.98802
2022-07-02T18:00:00.000000000,131.27,131.27,123.96966,123.96966,73.0281,142.07932
2022-07-02T19:00:00.000000000,124.87,124.87,126.98005,126.98004,76.03848,145.0897
2022-07-02T20:00:00.000000000,118.93,118.93,130.97461,130.9746,80.03304,149.08426
2022-07-02T21:00:00.000000000,116.64,116.64,137.258,137.25799,86.31643,155.36765
2022-07-02T22:00:00.000000000,120.5,120.5,143.4505,143.45049,92.50893,161.56015
2022-07-02T23:00:00.000000000,125.1,125.1,151.7978,151.79779,100.85623,169.90745
2022-07-03T00:00:00.000000000,138.14,138.14,142.08532,142.08532,92.15689,160.52035
2022-07-03T01:00:00.000000000,150.08,150.08,168.95929,168.95929,119.03087,187.39433
2022-07-03T02:00:00.000000000,181.59,181.59,208.60588,208.60591,158.67748,227.04094
2022-07-03T03:00:00.000000000,261.62,261.62,247.64976,247.64976,197.72134,266.0848
2022-07-03T04:00:00.000000000,289.58,289.58,267.77517,267.77517,217.84675,286.21021
2022-07-03T05:00:00.000000000,274.75,274.75,263.13873,263.13872,213.21029,281.57375
2022-07-03T06:00:00.000000000,251.27,251.27,247.65687,247.65687,197.72844,266.0919
2022-07-03T07:00:00.000000000,236.58,236.58,230.30003,230.30002,180.37159,248.73505
2022-07-03T08:00:00.000000000,209.17,209.17,216.78837,216.78836,166.85993,235.22339
2022-07-03T09:00:00.000000000,190.92,190.92,204.46418,204.46418,154.53576,222.89922
2022-07-03T10:00:00.000000000,195.58,195.58,192.92175,192.92175,142.99333,211.35679
2022-07-03T11:00:00.000000000,177.63,177.63,186.79096,186.79096,136.86254,205.226
2022-07-03T12:00:00.000000000,168.24,168.24,189.44745,189.44745,139.51902,207.88248
2022-07-03T13:00:00.000000000,177.3,177.3,188.09168,188.09168,138.16326,206.52671
2022-07-03T14:00:00.000000000,164.0,164.0,170.54309,170.54309,120.61467,188.97813
2022-07-03T15:00:00.000000000,140.54,140.54,139.83688,139.83688,89.90845,158.27191
2022-07-03T16:00:00.000000000,145.9,145.9,119.56275,119.56275,69.63432,137.99778
2022-07-03T17:00:00.000000000,142.41,142.41,116.07311,116.07311,66.14469,134.50815
2022-07-03T18:00:00.000000000,135.51,135.51,118.66785,118.66785,68.73942,137.10288
2022-07-03T19:00:00.000000000,126.97,126.97,118.69117,118.69118,68.76276,137.12622
