datetime,actual,spci_actual,predicted,spci_predicted,lower bound,upper bound
2022-07-02T00:00:00.000000000,107.71,107.71,94.25368,94.25366,66.19623,118.37491
2022-07-02T01:00:00.000000000,127.91,127.91,122.79285,122.79283,104.77415,151.40567
2022-07-02T02:00:00.000000000,169.31,169.31,160.0687,160.0687,132.65688,186.77806
2022-07-02T03:00:00.000000000,217.19,217.19,189.8835,189.88352,172.65931,222.70998
2022-07-02T04:00:00.000000000,231.37,231.37,205.00912,205.00914,198.36256,260.86863
2022-07-02T05:00:00.000000000,232.7,232.7,207.133,207.133,205.7103,267.42138
2022-07-02T06:00:00.000000000,217.56,217.56,199.3406,199.3406,193.00144,256.00019
2022-07-02T07:00:00.000000000,204.25,204.25,188.64168,188.64168,171.84589,226.03098
2022-07-02T08:00:00.000000000,177.75,177.75,181.21839,181.21838,163.19694,214.67565
2022-07-02T09:00:00.000000000,168.08,168.08,175.02914,175.02914,144.50541,194.91488
2022-07-02T10:00:00.000000000,166.65,166.65,169.08723,169.08723,132.03182,180.84047
2022-07-02T11:00:00.000000000,159.24,159.24,167.42323,167.42323,139.33155,191.71353
2022-07-02T12:00:00.000000000,161.72,161.72,167.7478,167.7478,130.66913,180.43961
2022-07-02T13:00:00.000000000,155.69,155.69,161.45807,161.45807,127.87681,176.78542
2022-07-02T14:00:00.000000000,134.43,134.43,145.61792,145.61793,106.45729,155.26142
2022-07-02T15:00:00.000000000,91.89,91.89,121.73356,121.73357,81.83929,131.04328
2022-07-02T16:00:00.000000000,83.17,83.17,97.71738,97.71739,38.54981,101.88985
2022-07-02T17:00:00.000000000,79.5,79.5,84.17896,84.17896,50.7388,99.08043
2022-07-02T18:00:00.000000000,77.78,77.78,83.64144,83.64144,52.55323,103.98345
2022-07-02T19:00:00.000000000,72.52,72.52,84.32052,84.32051,44.62945,94.34783
2022-07-02T20:00:00.000000000,68.07,68.07,81.11084,81.11084,47.20875,95.48193
2022-07-02T21:00:00.000000000,66.67,66.67,79.38754,79.38753,46.24184,94.76436
2022-07-02T22:00:00.000000000,70.14,70.14,80.34925,80.34923,45.17777,94.51988
2022-07-02T23:00:00.000000000,74.33,74.33,84.70082,84.7008,51.49237,100.81827
2022-07-03T00:00:00.000000000,85.18,85.18,80.83702,80.83703,39.98221,90.02681
2022-07-03T01:00:00.000000000,95.73,95.73,109.2617,109.26172,81.47096,134.80397
2022-07-03T02:00:00.000000000,123.6,123.6,147.82662,147.82662,108.39666,157.95452
2022-07-03T03:00:00.000000000,192.55,192.55,178.89728,178.89728,127.2473,188.99644
2022-07-03T04:00:00.000000000,216.49,216.49,193.42378,193.42378,177.3182,230.59178
2022-07-03T05:00:00.000000000,203.46,203.46,193.98853,193.98851,182.2048,240.09394
2022-07-03T06:00:00.000000000,184.34,184.34,186.10979,186.10979,169.18806,216.30958
2022-07-03T07:00:00.000000000,172.76,172.76,175.96196,175.96197,146.91623,198.28283
2022-07-03T08:00:00.000000000,151.46,151.46,167.34076,167.34077,137.40697,188.61994
2022-07-03T09:00:00.000000000,136.98,136.98,159.87179,159.87181,126.18157,175.20439
2022-07-03T10:00:00.000000000,141.58,141.58,156.21169,156.21169,104.27238,164.41825
2022-07-03T11:00:00.000000000,127.6,127.6,157.26556,157.26556,123.80089,171.6273
