datetime,actual,spci_actual,predicted,spci_predicted,lower bound,upper bound
2022-07-02T00:00:00.000000000,312.21,312.21,312.72297,312.72297,261.91709,362.42841
2022-07-02T01:00:00.000000000,307.63,307.63,313.24392,313.24392,262.43805,362.94937
2022-07-02T02:00:00.000000000,316.77,316.77,309.75609,309.75609,258.95021,359.46153
2022-07-02T03:00:00.000000000,308.66,308.66,302.60718,302.60718,251.80131,352.31263
2022-07-02T04:00:00.000000000,293.95,293.95,292.24073,292.24073,241.43485,341.94617
2022-07-02T05:00:00.000000000,282.36,282.36,280.9721,280.9721,230.16622,330.67754
2022-07-02T06:00:00.000000000,267.25,267.25,272.70883,272.70883,221.90296,322.41428
2022-07-02T07:00:00.000000000,272.68,272.68,269.06767,269.06768,218.26181,318.77313
2022-07-02T08:00:00.000000000,277.8,277.8,269.61774,269.61774,218.81186,319.32318
2022-07-02T09:00:00.000000000,276.49,276.49,273.73335,273.73335,222.92747,323.43879
2022-07-02T10:00:00.000000000,288.74,288.74,281.87899,281.87899,231.07312,331.58444
2022-07-02T11:00:00.000000000,298.93,298.93,293.84248,293.84248,243.0366,343.54792
2022-07-02T12:00:00.000000000,308.74,308.74,306.78453,306.78453,255.97865,356.48997
2022-07-02T13:00:00.000000000,309.66,309.66,318.05658,318.05658,267.2507,367.76202
2022-07-02T14:00:00.000000000,289.55,289.55,327.38281,327.38281,276.57693,377.08825
2022-07-02T15:00:00.000000000,279.62,279.62,335.0583,335.05832,284.25244,384.76376
2022-07-02T16:00:00.000000000,289.53,289.53,338.47287,338.47287,287.66699,388.17831
2022-07-02T17:00:00.000000000,307.63,307.63,339.07444,339.07444,288.26856,388.77988
2022-07-02T18:00:00.000000000,322.43,322.43,337.37055,337.37053,286.56465,387.07597
2022-07-02T19:00:00.000000000,331.57,331.57,334.47997,334.47997,283.67409,384.18541
2022-07-02T20:00:00.000000000,331.09,331.09,331.57078,331.57078,280.76491,381.27622
2022-07-02T21:00:00.000000000,317.3,317.3,329.55051,329.55051,278.74463,379.25595
2022-07-02T22:00:00.000000000,306.73,306.73,329.37084,329.37084,278.56497,379.07628
2022-07-02T23:00:00.000000000,291.54,291.54,331.30732,331.30732,280.50144,381.01276
2022-07-03T00:00:00.000000000,289.01,289.01,283.75998,283.75999,160.3141,293.13197
2022-07-03T01:00:00.000000000,295.7,295.7,288.22931,288.22931,164.78342,297.60129
2022-07-03T02:00:00.000000000,306.41,306.41,287.79615,287.79615,164.35026,297.16813
2022-07-03T03:00:00.000000000,310.67,310.67,283.75012,283.75012,160.30423,293.1221
2022-07-03T04:00:00.000000000,311.41,311.41,278.50217,278.50217,155.05628,287.87415
2022-07-03T05:00:00.000000000,310.62,310.62,274.51572,274.51572,151.06983,283.8877
2022-07-03T06:00:00.000000000,301.36,301.36,273.9112,273.9112,150.46531,283.28318
2022-07-03T07:00:00.000000000,295.25,295.25,276.00625,276.00626,152.56036,285.37823
2022-07-03T08:00:00.000000000,293.51,293.51,279.67529,279.67529,156.2294,289.04727
2022-07-03T09:00:00.000000000,298.44,298.44,284.93298,284.93298,161.48709,294.30496
2022-07-03T10:00:00.000000000,305.97,305.97,292.40733,292.40733,168.96144,301.77931
2022-07-03T11:00:00.000000000,304.09,304.09,301.88321,301.88321,178.43732,311.25519
2022-07-03T12:00:00.000000000,310.2,310.2,309.89769,309.89769,186.4518,319.26967
2022-07-03T13:00:00.000000000,300.5,300.5,313.91874,313.91874,190.47285,323.29072
2022-07-03T14:00:00.000000000,274.14,274.14,313.35987,313.35987,189.91397,322.73185
2022-07-03T15:00:00.000000000,260.53,260.53,311.04635,311.04635,187.60046,320.41833
2022-07-03T16:00:00.000000000,272.8,272.8,306.93801,306.93801,183.49211,316.30999
2022-07-03T17:00:00.000000000,283.5,283.5,302.86012,302.86012,179.41422,312.2321
2022-07-03T18:00:00.000000000,283.51,283.51,299.17221,299.17221,175.72632,308.54419
2022-07-03T19:00:00.000000000,285.69,285.69,296.78398,296.78398,173.33809,306.15596
2022-07-03T20:00:00.000000000,282.32,282.32,296.54321,296.54321,173.09731,305.91518
2022-07-03T21:00:00.000000000,280.4,280.4,299.40338,299.40338,175.95748,308.77536
2022-07-03T22:00:00.000000000,276.76,276.76,305.27477,305.27477,181.82888,314.64675
2022-07-03T23:00:00.000000000,269.15,269.15,312.83909,312.83909,189.3932,322.21107
2022-07-04T00:00:00.000000000,268.18,268.18,266.2272,266.22719,142.78129,273.59697
2022-07-04T01:00:00.000000000,280.19,280.19,258.3068,258.30678,134.86089,265.67657
2022-07-04T02:00:00.000000000,292.11,292.11,247.54487,247.54487,124.09898,254.91466
2022-07-04T03:00:00.000000000,305.87,305.87,237.29258,237.29256,113.84666,244.66235
2022-07-04T04:00:00.000000000,310.38,310.38,228.12133,228.12131,104.67542,235.4911
2022-07-04T05:00:00.000000000,309.21,309.21,221.55383,221.55382,98.10792,228.9236
2022-07-04T06:00:00.000000000,296.74,296.74,218.56151,218.56151,95.11562,225.9313
2022-07-04T07:00:00.000000000,284.35,284.35,219.84655,219.84653,96.40064,227.21632
