datetime,actual,spci_actual,predicted,spci_predicted,lower bound,upper bound
2022-07-02T00:00:00.000000000,392.11,392.11,437.78468,437.78468,411.22683,487.35987
2022-07-02T01:00:00.000000000,385.44,385.44,421.45004,421.45004,394.89219,471.02523
2022-07-02T02:00:00.000000000,393.97,393.97,403.48641,403.48641,376.92856,453.0616
2022-07-02T03:00:00.000000000,382.48,382.48,387.07973,387.07973,360.52188,436.65492
2022-07-02T04:00:00.000000000,362.22,362.22,365.2983,365.2983,338.74045,414.87349
2022-07-02T05:00:00.000000000,346.96,346.96,346.49826,346.49826,319.94041,396.07345
2022-07-02T06:00:00.000000000,328.97,328.97,335.45031,335.45031,308.89246,385.0255
2022-07-02T07:00:00.000000000,334.25,334.25,330.32121,330.32121,303.76336,379.8964
2022-07-02T08:00:00.000000000,339.61,339.61,330.83268,330.83268,304.27483,380.40787
2022-07-02T09:00:00.000000000,338.12,338.12,337.32031,337.3203,310.76245,386.89549
2022-07-02T10:00:00.000000000,352.4,352.4,349.37048,349.37045,322.8126,398.94564
2022-07-02T11:00:00.000000000,364.83,364.83,364.51705,364.51703,337.95918,414.09222
2022-07-02T12:00:00.000000000,377.31,377.31,378.09983,378.09983,351.54198,427.67502
2022-07-02T13:00:00.000000000,380.81,380.81,390.21692,390.21692,363.65907,439.79211
2022-07-02T14:00:00.000000000,360.17,360.17,397.43037,397.43039,370.87254,447.00558
2022-07-02T15:00:00.000000000,350.5,350.5,403.15742,403.1574,376.59955,452.73259
2022-07-02T16:00:00.000000000,365.27,365.27,408.2521,408.2521,381.69425,457.82729
2022-07-02T17:00:00.000000000,388.69,388.69,413.18066,413.18066,386.62281,462.75585
2022-07-02T18:00:00.000000000,405.95,405.95,419.2449,419.2449,392.68705,468.82009
2022-07-02T19:00:00.000000000,415.19,415.19,425.80174,425.80174,399.24389,475.37693
2022-07-02T20:00:00.000000000,414.48,414.48,426.27603,426.276,399.71815,475.85119
2022-07-02T21:00:00.000000000,398.19,398.19,423.84103,423.84103,397.28318,473.41622
2022-07-02T22:00:00.000000000,385.76,385.76,422.45553,422.45553,395.89768,472.03072
2022-07-02T23:00:00.000000000,368.34,368.34,418.38195,418.38195,391.8241,467.95714
2022-07-03T00:00:00.000000000,364.52,364.52,385.99274,385.99274,279.39082,396.11494
2022-07-03T01:00:00.000000000,371.07,371.07,380.37164,380.37164,273.76972,390.49384
2022-07-03T02:00:00.000000000,381.89,381.89,375.52903,375.52903,268.92711,385.65123
2022-07-03T03:00:00.000000000,385.79,385.79,374.89266,374.89263,268.29071,385.01483
2022-07-03T04:00:00.000000000,386.05,386.05,372.68132,372.68132,266.0794,382.80352
2022-07-03T05:00:00.000000000,383.11,383.11,371.05922,371.05922,264.4573,381.18142
2022-07-03T06:00:00.000000000,372.8,372.8,372.28394,372.28394,265.68202,382.40614
2022-07-03T07:00:00.000000000,366.51,366.51,376.05638,376.05638,269.45446,386.17858
2022-07-03T08:00:00.000000000,363.32,363.32,379.66977,379.66977,273.06785,389.79197
2022-07-03T09:00:00.000000000,368.62,368.62,383.41112,383.41112,276.8092,393.53332
2022-07-03T10:00:00.000000000,376.87,376.87,388.02746,388.02746,281.42553,398.14966
2022-07-03T11:00:00.000000000,373.35,373.35,392.50359,392.50359,285.90167,402.62579
2022-07-03T12:00:00.000000000,379.36,379.36,392.91817,392.91817,286.31624,403.04037
2022-07-03T13:00:00.000000000,368.93,368.93,392.48467,392.48467,285.88275,402.60687
2022-07-03T14:00:00.000000000,340.28,340.28,390.25691,390.25691,283.65499,400.37911
2022-07-03T15:00:00.000000000,325.82,325.82,387.22075,387.22075,280.61883,397.34295
2022-07-03T16:00:00.000000000,343.08,343.08,384.82696,384.82696,278.22504,394.94916
