datetime,actual,spci_actual,predicted,spci_predicted,lower bound,upper bound
2022-07-02T00:00:00.000000000,267.97,267.97,260.66673,260.66673,250.87145,274.14368
2022-07-02T01:00:00.000000000,266.6,266.6,256.41462,256.41462,246.61934,269.89157
2022-07-02T02:00:00.000000000,277.27,277.27,250.39186,250.39186,240.59658,263.86881
2022-07-02T03:00:00.000000000,280.01,280.01,242.10377,242.10377,232.3085,255.58072
2022-07-02T04:00:00.000000000,274.49,274.49,235.5597,235.5597,225.76443,249.03666
2022-07-02T05:00:00.000000000,266.1,266.1,232.36703,232.36703,222.57176,245.84398
2022-07-02T06:00:00.000000000,258.39,258.39,230.93441,230.93441,221.13913,244.41136
2022-07-02T07:00:00.000000000,254.36,254.36,231.72184,231.72184,221.92657,245.1988
2022-07-02T08:00:00.000000000,244.63,244.63,233.98675,233.98675,224.19148,247.46371
2022-07-02T09:00:00.000000000,244.63,244.63,237.5296,237.52959,227.73432,251.00654
2022-07-02T10:00:00.000000000,241.47,241.47,242.25813,242.25814,232.46287,255.7351
2022-07-02T11:00:00.000000000,239.56,239.56,247.42272,247.42272,237.62745,260.89968
2022-07-02T12:00:00.000000000,250.81,250.81,250.36487,250.36487,240.5696,263.84183
2022-07-02T13:00:00.000000000,256.11,256.11,252.81058,252.81058,243.01531,266.28754
2022-07-02T14:00:00.000000000,258.3,258.3,254.05353,254.05353,244.25825,267.53048
2022-07-02T15:00:00.000000000,259.54,259.54,254.30295,254.30295,244.50768,267.7799
2022-07-02T16:00:00.000000000,257.92,257.92,253.48278,253.48278,243.6875,266.95973
2022-07-02T17:00:00.000000000,261.74,261.74,253.41016,253.41016,243.61488,266.88711
2022-07-02T18:00:00.000000000,261.29,261.29,253.46671,253.46671,243.67143,266.94366
2022-07-02T19:00:00.000000000,262.79,262.79,254.33047,254.33047,244.53519,267.80742
2022-07-02T20:00:00.000000000,265.62,265.62,254.76594,254.76594,244.97066,268.24289
2022-07-02T21:00:00.000000000,262.07,262.07,254.60439,254.60439,244.80912,268.08134
2022-07-02T22:00:00.000000000,258.75,258.75,254.77541,254.7754,244.98013,268.25235
2022-07-02T23:00:00.000000000,263.34,263.34,254.37705,254.37705,244.58177,267.854
2022-07-03T00:00:00.000000000,270.18,270.18,253.53564,253.53564,243.52239,270.45439
2022-07-03T01:00:00.000000000,272.92,272.92,252.09984,252.09984,242.08659,269.0186
2022-07-03T02:00:00.000000000,268.64,268.64,250.23002,250.23002,240.21677,267.14877
2022-07-03T03:00:00.000000000,260.79,260.79,246.48536,246.48536,236.4721,263.40411
2022-07-03T04:00:00.000000000,254.79,254.79,244.19689,244.19689,234.18363,261.11564
2022-07-03T05:00:00.000000000,246.67,246.67,244.68222,244.68222,234.66897,261.60098
