datetime,actual,spci_actual,predicted,spci_predicted,lower bound,upper bound
2022-07-02T00:00:00.000000000,357.27,357.27,337.54427,337.54424,326.44502,362.14026
2022-07-02T01:00:00.000000000,355.35,355.35,331.02993,331.02991,319.9307,355.62594
2022-07-02T02:00:00.000000000,368.71,368.71,323.69926,323.69926,312.60005,348.29529
2022-07-02T03:00:00.000000000,372.0,372.0,313.93205,313.93205,302.83283,338.52807
2022-07-02T04:00:00.000000000,364.53,364.53,304.91246,304.91246,293.81325,329.50849
2022-07-02T05:00:00.000000000,353.43,353.43,298.16088,298.16086,287.06165,322.75689
2022-07-02T06:00:00.000000000,343.32,343.32,294.87816,294.87816,283.77895,319.47418
2022-07-02T07:00:00.000000000,337.95,337.95,293.85352,293.85351,282.7543,318.44954
2022-07-02T08:00:00.000000000,325.27,325.27,294.37189,294.37188,283.27267,318.96791
2022-07-02T09:00:00.000000000,325.29,325.29,298.56499,298.56497,287.46576,323.161
2022-07-02T10:00:00.000000000,321.27,321.27,305.57402,305.57402,294.4748,330.17004
2022-07-02T11:00:00.000000000,318.95,318.95,310.86411,310.86411,299.7649,335.46014
2022-07-02T12:00:00.000000000,333.73,333.73,315.79577,315.79577,304.69656,340.3918
2022-07-02T13:00:00.000000000,340.81,340.81,320.8667,320.86669,309.76747,345.46271
2022-07-02T14:00:00.000000000,343.93,343.93,322.59531,322.59529,311.49608,347.19132
2022-07-02T15:00:00.000000000,345.79,345.79,324.85625,324.85623,313.75702,349.45226
2022-07-02T16:00:00.000000000,344.03,344.03,325.78039,325.78039,314.68117,350.37641
2022-07-02T17:00:00.000000000,349.06,349.06,326.95702,326.957,315.85779,351.55303
2022-07-02T18:00:00.000000000,348.55,348.55,328.83502,328.83502,317.73581,353.43105
2022-07-02T19:00:00.000000000,350.49,350.49,331.5629,331.5629,320.46369,356.15893
2022-07-02T20:00:00.000000000,354.1,354.1,332.98273,332.98273,321.88351,357.57875
2022-07-02T21:00:00.000000000,349.85,349.85,335.38006,335.38006,324.28085,359.97609
2022-07-02T22:00:00.000000000,345.86,345.86,336.67573,336.6757,325.57649,361.27173
2022-07-02T23:00:00.000000000,352.74,352.74,338.91711,338.91711,327.81789,363.51313
2022-07-03T00:00:00.000000000,359.95,359.95,331.08645,331.08645,319.28095,354.85
2022-07-03T01:00:00.000000000,363.04,363.04,326.8154,326.8154,315.00989,350.57894
2022-07-03T02:00:00.000000000,357.39,357.39,324.34539,324.34539,312.53989,348.10894
2022-07-03T03:00:00.000000000,347.09,347.09,320.32722,320.32722,308.52172,344.09077
2022-07-03T04:00:00.000000000,338.81,338.81,316.6915,316.6915,304.886,340.45505
2022-07-03T05:00:00.000000000,327.98,327.98,314.15783,314.15783,302.35233,337.92138
2022-07-03T06:00:00.000000000,318.7,318.7,313.37095,313.37094,301.56543,337.13448
2022-07-03T07:00:00.000000000,313.83,313.83,312.59224,312.59224,300.78674,336.35579
2022-07-03T08:00:00.000000000,315.88,315.88,311.15116,311.15116,299.34566,334.91471
2022-07-03T09:00:00.000000000,319.1,319.1,312.31006,312.31004,300.50454,336.07359
2022-07-03T10:00:00.000000000,314.25,314.25,316.5369,316.53691,304.73141,340.30046
2022-07-03T11:00:00.000000000,313.77,313.77,319.83837,319.83837,308.03287,343.60192
2022-07-03T12:00:00.000000000,319.66,319.66,323.14056,323.14058,311.33507,346.90412
2022-07-03T13:00:00.000000000,323.73,323.73,327.27491,327.27491,315.4694,351.03845
2022-07-03T14:00:00.000000000,328.86,328.86,328.02786,328.02786,316.22236,351.79141
2022-07-03T15:00:00.000000000,319.2,319.2,330.13637,330.13639,318.33088,353.89993
2022-07-03T16:00:00.000000000,318.59,318.59,331.82097,331.82097,320.01546,355.58451
2022-07-03T17:00:00.000000000,321.73,321.73,333.35456,333.35456,321.54905,357.1181
2022-07-03T18:00:00.000000000,323.9,323.9,335.18428,335.18428,323.37878,358.94783
2022-07-03T19:00:00.000000000,326.57,326.57,337.71816,337.71817,325.91267,361.48172
2022-07-03T20:00:00.000000000,333.67,333.67,338.08245,338.08245,326.27695,361.846
2022-07-03T21:00:00.000000000,337.17,337.17,338.92698,338.92699,327.12149,362.69054
2022-07-03T22:00:00.000000000,333.15,333.15,338.64897,338.64897,326.84347,362.41252
2022-07-03T23:00:00.000000000,336.36,336.36,339.55701,339.55701,327.75151,363.32056
2022-07-04T00:00:00.000000000,346.0,346.0,321.10032,321.10032,303.31532,344.84948
2022-07-04T01:00:00.000000000,353.7,353.7,316.24988,316.2499,298.4649,339.99906
2022-07-04T02:00:00.000000000,344.66,344.66,311.65784,311.65783,293.87283,335.40699
2022-07-04T03:00:00.000000000,335.54,335.54,305.66614,305.66614,287.88114,329.4153
2022-07-04T04:00:00.000000000,328.26,328.26,299.96187,299.96187,282.17687,323.71103
2022-07-04T05:00:00.000000000,318.1,318.1,295.58185,295.58186,277.79686,319.33102
2022-07-04T06:00:00.000000000,302.25,302.25,293.19789,293.1979,275.41291,316.94706
